"participant","trial","position","first_display","display","direction","video","outcome","simulation","attn_check","rating","ball_direction","goalie_direction"
"LAMI002",42,"ball","up","down","right","LAMI_right_score_down.mp4","score","Remember",0.148,0.942,"right","left"
"LAMI002",43,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.778,0.772,"right","right"
"LAMI002",44,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.766,0.763,"left","right"
"LAMI002",45,"ball","up","down","right","LAMI_right_score_down.mp4","score","What if?",0.114,0.17,"right","left"
"LAMI002",46,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.794,0.013,"right","right"
"LAMI002",47,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.648,0.129,"left","right"
"LAMI002",48,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.155,0.847,"left","left"
"LAMI004",1,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.743,0,"left","right"
"LAMI004",2,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.743,0,"right","right"
"LAMI004",3,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.757,0.956,"right","right"
"LAMI004",4,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.728,0.964,"left","right"
"LAMI004",5,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.761,0.948,"left","right"
"LAMI004",6,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.208,0.961,"right","left"
"LAMI004",7,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.727,0,"right","right"
"LAMI004",8,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.137,0.959,"left","left"
"LAMI004",9,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.741,0,"left","right"
"LAMI004",10,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.206,0.957,"right","left"
"LAMI004",11,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.791,0.959,"right","right"
"LAMI004",12,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.178,0.954,"left","left"
"LAMI004",13,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.707,0,"left","right"
"LAMI004",14,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.707,0.961,"right","right"
"LAMI004",15,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.77,0.965,"left","right"
"LAMI004",16,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.775,0.956,"right","right"
"LAMI004",17,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.205,0.961,"left","left"
"LAMI004",18,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.14,0.962,"right","left"
"LAMI004",19,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.105,0,"left","left"
"LAMI004",20,"ball","down","down","right","LAMI_right_score_down.mp4","score","Cause",0.169,0.956,"right","left"
"LAMI004",21,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.811,0.97,"left","right"
"LAMI004",22,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.748,0,"right","right"
"LAMI004",23,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.171,0.96,"left","left"
"LAMI004",24,"ball","down","down","right","LAMI_right_score_down.mp4","score","What if?",0.189,0,"right","left"
"LAMI004",25,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.139,0.964,"left","left"
"LAMI004",26,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.82,0.962,"right","right"
"LAMI004",27,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.114,0.955,"left","left"
"LAMI004",28,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.122,0.967,"right","left"
"LAMI004",29,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.115,0.956,"right","left"
"LAMI004",30,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.72,0.955,"left","right"
"LAMI004",31,"ball","down","up","right","LAMI_right_miss.mp4","miss","Remember",0.746,0,"right","right"
"LAMI004",32,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.147,0.952,"left","left"
"LAMI004",33,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.184,0.969,"right","left"
"LAMI004",34,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.708,0,"left","right"
"LAMI004",35,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.108,0,"left","left"
"LAMI004",36,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.213,0,"right","left"
"LAMI004",37,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.747,0.958,"left","right"
"LAMI004",38,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.747,0,"left","right"
"LAMI004",39,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.215,0,"left","left"
"LAMI004",40,"ball","down","up","right","LAMI_right_miss.mp4","miss","What if?",0.785,0.952,"right","right"
"LAMI004",41,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.204,0,"left","left"
"LAMI004",42,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.155,0.96,"right","left"
"LAMI004",43,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.705,0.964,"left","right"
"LAMI004",44,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.761,0.954,"left","right"
"LAMI004",45,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.751,0.959,"right","right"
"LAMI004",46,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.202,0.96,"left","left"
"LAMI004",47,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.138,0,"right","left"
"LAMI004",48,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.213,0.961,"left","left"
"LAMI005",1,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.14,0.96,"right","left"
"LAMI005",2,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.78,0,"left","right"
"LAMI005",3,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.738,0,"right","right"
"LAMI005",4,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.179,0.956,"left","left"
"LAMI005",5,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.787,0.959,"right","right"
"LAMI005",6,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.73,0,"left","right"
"LAMI005",7,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.164,0.945,"left","left"
"LAMI005",8,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.762,0,"right","right"
"LAMI005",9,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.728,0.467,"left","right"
"LAMI005",10,"ball","down","down","right","LAMI_right_score_down.mp4","score","Cause",0.11,0.932,"right","left"
"LAMI005",11,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.773,0.959,"left","right"
"LAMI005",12,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.21,0.947,"left","left"
"LAMI005",13,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.15,0.953,"left","left"
"LAMI005",14,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.785,0.943,"right","right"
"LAMI005",15,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.203,0,"left","left"
"LAMI005",16,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.769,0.94,"right","right"
"LAMI005",17,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.72,0,"left","right"
"LAMI005",18,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.098,0,"left","left"
"LAMI005",19,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.783,0.948,"left","right"
"LAMI005",20,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.799,0.938,"left","right"
"LAMI005",21,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.794,0.961,"left","right"
"LAMI005",22,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.826,0.939,"left","right"
"LAMI005",23,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.715,0,"left","right"
"LAMI005",24,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.154,0.962,"left","left"
"LAMI005",25,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.123,0,"left","left"
"LAMI005",26,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.137,0,"left","left"
"LAMI005",27,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.127,0.952,"left","left"
"LAMI005",28,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.712,0,"left","right"
"LAMI005",29,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.146,0.966,"left","left"
"LAMI005",30,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.704,0.961,"left","right"
"LAMI005",31,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.777,0,"left","right"
"LAMI005",32,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.119,0.94,"left","left"
"LAMI005",33,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.172,0.933,"left","left"
"LAMI005",34,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.788,0.933,"left","right"
"LAMI005",35,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.114,0.957,"left","right"
"LAMI005",36,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.108,0.958,"right","left"
"LAMI005",37,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.793,0,"left","right"
"LAMI005",38,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.162,0,"left","left"
"LAMI005",39,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.101,0.457,"left","left"
"LAMI005",40,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.783,0.951,"left","right"
"LAMI005",41,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.198,0.953,"left","left"
"LAMI005",42,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.838,0.949,"left","right"
"LAMI005",43,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.172,0.951,"left","left"
"LAMI005",44,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.18,0.945,"left","right"
"LAMI005",45,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.169,0.942,"right","left"
"LAMI005",46,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.814,0.938,"right","right"
"LAMI005",47,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.753,0,"left","right"
"LAMI005",48,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.168,0,"left","left"
"LAMI006",1,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.759,0.46,"left","right"
"LAMI006",2,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.128,0.957,"left","left"
"LAMI006",3,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.178,0.959,"left","left"
"LAMI006",4,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.15,0,"left","left"
"LAMI006",5,"ball","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.79,0.959,"right","right"
"LAMI006",6,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.168,0.962,"left","left"
"LAMI006",7,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.798,0,"left","right"
"LAMI006",8,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.748,0.959,"left","right"
"LAMI006",9,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.817,0.969,"left","right"
"LAMI006",10,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.743,0,"left","right"
"LAMI006",11,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.153,0,"left","left"
"LAMI006",12,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.789,0.958,"left","right"
"LAMI006",13,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.817,0.963,"left","right"
"LAMI006",14,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.161,0.956,"left","left"
"LAMI006",15,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.189,0,"left","left"
"LAMI006",16,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.21,0,"right","left"
"LAMI006",17,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.166,0,"right","left"
"LAMI006",18,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.224,0.956,"right","left"
"LAMI006",19,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.169,0.96,"left","left"
"LAMI006",20,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.16,0.966,"right","left"
"LAMI006",21,"ball","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.763,0.963,"right","right"
"LAMI006",22,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.809,0.956,"left","right"
"LAMI006",23,"ball","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.815,0.958,"right","right"
"LAMI006",24,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.193,0,"left","left"
"LAMI006",25,"ball","up","down","right","LAMI_right_score_down.mp4","score","Cause",0.172,0.959,"right","left"
"LAMI006",26,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.722,0.958,"right","right"
"LAMI006",27,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.737,0.957,"left","right"
"LAMI006",28,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.741,0,"left","right"
"LAMI006",29,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.791,0.966,"left","right"
"LAMI006",30,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.123,0.959,"left","left"
"LAMI006",31,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.762,0,"right","right"
"LAMI006",32,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.135,0.956,"left","left"
"LAMI006",33,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.757,0.249,"right","right"
"LAMI006",34,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.193,0,"left","left"
"LAMI006",35,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.764,0,"left","right"
"LAMI006",36,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.779,0.954,"left","right"
"LAMI006",37,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.783,0.962,"left","right"
"LAMI006",38,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.191,0,"left","left"
"LAMI006",39,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.781,0.958,"left","right"
"LAMI006",40,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.196,0,"left","left"
"LAMI006",41,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.117,0.488,"left","left"
"LAMI006",42,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.678,0.167,"left","right"
"LAMI006",43,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.249,0.959,"left","left"
"LAMI006",44,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.761,0.544,"left","right"
"LAMI006",45,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.209,0.619,"left","left"
"LAMI006",46,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.733,0.416,"right","right"
"LAMI006",47,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.765,0.163,"left","right"
"LAMI006",48,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.753,0.709,"left","right"
"LAMI007",1,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.788,0.118,"left","right"
"LAMI007",2,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.798,0.839,"left","right"
"LAMI007",3,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.115,0.833,"left","left"
"LAMI007",4,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.121,0.152,"left","left"
"LAMI007",5,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.736,0.047,"right","right"
"LAMI007",6,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.787,0.00800000000000001,"left","right"
"LAMI007",7,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.742,0.002,"left","right"
"LAMI007",8,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.76,0.938,"right","right"
"LAMI007",9,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.188,0.933,"right","left"
"LAMI007",10,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.126,0.919,"left","left"
"LAMI007",11,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.747,0.559,"right","right"
"LAMI007",12,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.757,0.801,"left","right"
"LAMI007",13,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.743,0.735,"left","right"
"LAMI007",14,"ball","down","down","right","LAMI_right_score_down.mp4","score","What if?",0.151,0.055,"right","left"
"LAMI007",15,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.747,0.018,"left","right"
"LAMI007",16,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.817,0.948,"left","right"
"LAMI007",17,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.741,0,"right","right"
"LAMI007",18,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.76,0.928,"left","right"
"LAMI007",19,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.74,0.928,"right","right"
"LAMI007",20,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0,0.928,"right","left"
"LAMI007",21,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.823,0.951,"right","right"
"LAMI007",22,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.153,0.898,"left","left"
"LAMI007",23,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.131,0.935,"left","left"
"LAMI007",24,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.787,0,"right","right"
"LAMI007",25,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.09,0.945,"right","left"
"LAMI007",26,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.152,0.035,"left","left"
"LAMI007",27,"ball","down","up","right","LAMI_right_miss.mp4","miss","Remember",0.787,0,"right","right"
"LAMI007",28,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.828,0.925,"left","right"
"LAMI007",29,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.79,0.917,"left","right"
"LAMI007",30,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.19,0.912,"left","left"
"LAMI007",31,"ball","down","up","right","LAMI_right_miss.mp4","miss","What if?",0.79,0.938,"right","right"
"LAMI007",32,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.18,0.003,"right","left"
"LAMI007",33,"ball","down","up","right","LAMI_right_miss.mp4","miss","What if?",0.742,0.937,"right","right"
"LAMI007",34,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.183,0.935,"left","left"
"LAMI007",35,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.827,0.921,"left","right"
"LAMI007",36,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.151,0.012,"right","left"
"LAMI007",37,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.2,0.935,"left","left"
"LAMI007",38,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.227,0.937,"right","left"
"LAMI007",39,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.09,0.03,"right","left"
"LAMI007",40,"ball","down","up","right","LAMI_right_miss.mp4","miss","What if?",0.74,0.928,"right","right"
"LAMI007",41,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.191,0.011,"right","left"
"LAMI007",42,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.771,0.896,"right","right"
"LAMI007",43,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.179,0.93,"right","left"
"LAMI007",44,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.131,0.025,"left","left"
"LAMI007",45,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.119,0.93,"right","left"
"LAMI007",46,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.815,0.92,"left","right"
"LAMI007",47,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.157,0.001,"left","left"
"LAMI007",48,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.792,0.936,"right","right"
"LAMI008",1,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.769,0.46,"right","right"
"LAMI008",2,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.171,0.604,"left","left"
"LAMI008",3,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.113,0.488,"left","left"
"LAMI008",4,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.142,0.431,"left","left"
"LAMI008",5,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.12,0.421,"left","left"
"LAMI008",6,"ball","down","down","right","LAMI_right_score_down.mp4","score","Cause",0.141,0.929,"right","left"
"LAMI008",7,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.131,0.959,"right","left"
"LAMI008",8,"ball","down","down","right","LAMI_right_score_down.mp4","score","What if?",0.12,0.962,"right","left"
"LAMI008",9,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.154,0.964,"right","left"
"LAMI008",10,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.15,0.962,"left","left"
"LAMI008",11,"ball","down","down","right","LAMI_right_score_down.mp4","score","What if?",0.097,0.96,"right","left"
"LAMI008",12,"ball","down","down","right","LAMI_right_score_down.mp4","score","Cause",0.12,0.962,"right","left"
"LAMI008",13,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.747,0.463,"left","right"
"LAMI008",14,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.749,0.481,"left","right"
"LAMI008",15,"ball","down","down","left","LAMI_left_score_down.mp4","score","Remember",0.713,0.467,"left","right"
"LAMI008",16,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.166,0.428,"left","left"
"LAMI008",17,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.182,0.493,"left","left"
"LAMI008",18,"ball","down","down","right","LAMI_right_score_down.mp4","score","What if?",0.122,0.542,"right","left"
"LAMI008",19,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.843,0.446,"right","right"
