"participant","trial","position","first_display","display","direction","video","outcome","simulation","attn_check","rating","ball_direction","goalie_direction"
"LAMI002",1,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.776,0.458,"left","right"
"LAMI002",2,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.757,0.083,"left","right"
"LAMI002",3,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.124,0,"left","left"
"LAMI002",4,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.179,0,"left","left"
"LAMI002",5,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.771,0.961,"left","right"
"LAMI002",6,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.17,0.468,"left","left"
"LAMI002",7,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.748,0.458,"right","left"
"LAMI002",8,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.148,0.919,"left","left"
"LAMI002",9,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.219,0.956,"right","left"
"LAMI002",10,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.154,0.856,"right","left"
"LAMI002",11,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.213,0.942,"left","left"
"LAMI002",12,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.155,0.86,"left","left"
"LAMI002",13,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.158,0,"left","left"
"LAMI002",14,"ball","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.767,0.884,"right","right"
"LAMI002",15,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.158,0.839,"left","left"
"LAMI002",16,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.135,0.942,"right","left"
"LAMI002",17,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.141,0.805,"right","left"
"LAMI002",18,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.142,0.715,"right","left"
"LAMI002",19,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.735,0.037,"left","right"
"LAMI002",20,"ball","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.795,0.824,"right","right"
"LAMI002",21,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.141,0,"left","left"
"LAMI002",22,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.181,0.071,"right","left"
"LAMI002",23,"ball","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.762,0,"right","right"
"LAMI002",24,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.203,0.928,"right","left"
"LAMI002",25,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.191,0,"left","left"
"LAMI002",26,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.184,0.758,"left","left"
"LAMI002",27,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.737,0.849,"right","right"
"LAMI002",28,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.82,0,"left","right"
"LAMI002",29,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.803,0.796,"right","right"
"LAMI002",30,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.761,0,"right","right"
"LAMI002",31,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.788,0,"left","right"
"LAMI002",32,"ball","up","down","right","LAMI_right_score_down.mp4","score","Cause",0.222,0.812,"right","left"
"LAMI002",33,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.124,0.91,"left","right"
"LAMI002",34,"ball","up","down","right","LAMI_right_score_down.mp4","score","Remember",0.176,0.951,"right","left"
"LAMI002",35,"ball","up","down","right","LAMI_right_score_down.mp4","score","What if?",0.145,0.00800000000000001,"right","left"
"LAMI002",36,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.774,0.889,"right","right"
"LAMI002",37,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.743,0.824,"right","right"
"LAMI002",38,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.213,0,"left","left"
"LAMI002",39,"ball","up","down","right","LAMI_right_score_down.mp4","score","Cause",0.126,0.788,"right","left"
"LAMI002",40,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.705,0.888,"right","right"
"LAMI002",41,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.735,0.933,"left","right"
