"id","condition","block","display","loop","outcome","imagination","lr","vividness","rating","confidence","duration","gender","age","race","hispanic","education","display","feedback","CheckQ1","CheckQ1Again","CheckQ2","CheckQ2Again","CheckQ3","CheckQ3Again"
"R_2fyb8ognHNZJsro","ball",1,"up",1,"S","Remember","right","1","1","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",2,"S","What If?","right","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",3,"S","Cause","left","1","0.88","0.801","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",4,"M","Remember","left","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",5,"M","What If?","right","1","1","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",6,"M","Cause","right","1","0.912","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",7,"S","Remember","right","1","0.611","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",8,"S","What If?","right","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",9,"S","Cause","right","1","0.884","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",10,"M","Remember","right","0.97","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",11,"M","What If?","left","1","1","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",1,"up",12,"M","Cause","right","1","0.846","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",1,"S","Remember","left","1","0.973","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",2,"S","What If?","right","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",3,"S","Cause","right","1","0.884","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",4,"M","Remember","left","1","0.331","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",5,"M","What If?","right","1","1","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",6,"M","Cause","right","0.877","0.911","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",7,"S","Remember","right","1","0.936","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",8,"S","What If?","left","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",9,"S","Cause","right","1","0.808","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",10,"M","Remember","right","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",11,"M","What If?","right","0.753","1","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",2,"up",12,"M","Cause","right","0.995","0.839","1","1340","Male","29","White/Caucasian","No","4 year degree","up","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",3,"down",1,"S","Remember","right","1","1","1","1340","Male","29","White/Caucasian","No","4 year degree","down","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",3,"down",2,"S","What If?","right","1","0","1","1340","Male","29","White/Caucasian","No","4 year degree","down","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2fyb8ognHNZJsro","ball",3,"down",3,"S","Cause","right","0.885","1","1","1340","Male","29","White/Caucasian","No","4 year degree","down","","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
