Session_Name_	position	BlockCount	Trial_Index_	trialcount	display	LorRdirection	Video	outcome	simulation	TrialAttnCheckXLocation	RatingLXlocation	feedbackpoint
LAMI039	YB_up	1	1	1	up	1	LAMI_left_miss.mp4	miss	"What if?"	700	1243	"(1243, 690)"
LAMI039	YB_up	1	2	2	up	3	LAMI_right_miss.mp4	miss	Cause	1275	1295	"(1295, 690)"
LAMI039	YB_up	1	3	3	up	1	LAMI_left_score.mp4	score	Remember	1284	960	"(960, 690)"
LAMI039	YB_up	1	4	4	up	3	LAMI_right_score.mp4	score	"What if?"	698	466	"(466, 690)"
LAMI039	YB_up	1	5	5	up	3	LAMI_right_score.mp4	score	"What if?"	705	485	"(485, 690)"
LAMI039	YB_up	1	6	6	up	1	LAMI_left_miss.mp4	miss	Remember	645	518	"(518, 690)"
LAMI039	YB_up	1	7	7	up	1	LAMI_left_score.mp4	score	Cause	1310	1457	"(1457, 690)"
LAMI039	YB_up	1	8	8	up	1	LAMI_left_score.mp4	score	Cause	1256	1459	"(1459, 690)"
LAMI039	YB_up	1	9	9	up	3	LAMI_right_miss.mp4	miss	Cause	1302	470	"(470, 690)"
LAMI039	YB_up	1	10	10	up	1	LAMI_left_miss.mp4	miss	"What if?"	669	471	"(471, 690)"
LAMI039	YB_up	1	11	11	up	3	LAMI_right_miss.mp4	miss	Remember	1307	467	"(467, 690)"
LAMI039	YB_up	1	12	12	up	1	LAMI_left_score.mp4	score	Remember	1317	1418	"(1418, 690)"
LAMI039	YB_up	1	13	13	up	1	LAMI_left_miss.mp4	miss	Cause	655	502	"(502, 690)"
LAMI039	YB_up	1	14	14	up	3	LAMI_right_miss.mp4	miss	"What if?"	1249	506	"(506, 690)"
LAMI039	YB_up	1	15	15	up	3	LAMI_right_score.mp4	score	Remember	689	1419	"(1419, 690)"
LAMI039	YB_up	1	16	16	up	1	LAMI_left_miss.mp4	miss	"What if?"	672	469	"(469, 690)"
