Session_Name_	position	BlockCount	Trial_Index_	trialcount	display	LorRdirection	Video	outcome	simulation	TrialAttnCheckXLocation	RatingLXlocation	feedbackpoint
LAMI056	TG_down	1	1	1	down	1	LAMI_left_miss_down.mp4	miss	Remember	692	458	"(458, 690)"
LAMI056	TG_down	1	2	2	down	1	LAMI_left_miss_down.mp4	miss	"What if?"	694	1456	"(1456, 690)"
LAMI056	TG_down	1	3	3	down	3	LAMI_left_score_down.mp4	score	Remember	681	1454	"(1454, 690)"
LAMI056	TG_down	1	4	4	down	1	LAMI_left_miss_down.mp4	miss	Remember	615	460	"(460, 690)"
LAMI056	TG_down	1	5	5	down	1	LAMI_right_score_down.mp4	score	Remember	1295	1456	"(1456, 690)"
LAMI056	TG_down	1	6	6	down	3	LAMI_left_score_down.mp4	score	"What if?"	684	453	"(453, 690)"
LAMI056	TG_down	1	7	7	down	1	LAMI_right_score_down.mp4	score	"What if?"	1267	460	"(460, 690)"
LAMI056	TG_down	1	8	8	down	1	LAMI_right_score_down.mp4	score	Cause	1259	1462	"(1462, 690)"
LAMI056	TG_down	1	9	9	down	3	LAMI_right_miss_down.mp4	miss	Cause	1294	1471	"(1471, 690)"
LAMI056	TG_down	1	10	10	down	1	LAMI_left_miss_down.mp4	miss	"What if?"	699	1447	"(1447, 690)"
LAMI056	TG_down	1	11	11	down	1	LAMI_right_score_down.mp4	score	Cause	1250	1454	"(1454, 690)"
LAMI056	TG_down	1	12	12	down	1	LAMI_left_miss_down.mp4	miss	Cause	696	1462	"(1462, 690)"
LAMI056	TG_down	1	13	13	down	3	LAMI_right_miss_down.mp4	miss	"What if?"	1234	1457	"(1457, 690)"
LAMI056	TG_down	1	14	14	down	1	LAMI_left_miss_down.mp4	miss	Cause	686	1455	"(1455, 690)"
LAMI056	TG_down	1	15	15	down	1	LAMI_left_miss_down.mp4	miss	Cause	724	1457	"(1457, 690)"
LAMI056	TG_down	1	16	16	down	1	LAMI_right_score_down.mp4	score	Cause	1294	1456	"(1456, 690)"
LAMI056	TG_down	1	17	17	down	1	LAMI_left_miss_down.mp4	miss	Remember	682	470	"(470, 690)"
LAMI056	TG_down	1	18	18	down	1	LAMI_left_miss_down.mp4	miss	Remember	682	466	"(466, 690)"
LAMI056	TG_down	1	19	19	down	3	LAMI_left_score_down.mp4	score	Remember	577	1449	"(1449, 690)"
LAMI056	TG_down	1	20	20	down	1	LAMI_right_score_down.mp4	score	Remember	1285	1450	"(1450, 690)"
LAMI056	TG_down	1	21	21	down	3	LAMI_right_miss_down.mp4	miss	"What if?"	1216	1470	"(1470, 690)"
LAMI056	TG_down	1	22	22	down	1	LAMI_right_score_down.mp4	score	"What if?"	1223	464	"(464, 690)"
LAMI056	TG_down	1	23	23	down	1	LAMI_right_score_down.mp4	score	"What if?"	1287	463	"(463, 690)"
LAMI056	TG_down	1	24	24	down	1	LAMI_right_score_down.mp4	score	Cause	1257	1455	"(1455, 690)"
LAMI056	TG_down	1	25	25	up	1	LAMI_right_score.mp4	score	Remember	1254	1465	"(1465, 690)"
LAMI056	TG_down	1	26	26	up	1	LAMI_left_miss.mp4	miss	"What if?"	659	1461	"(1461, 690)"
