Session_Name_	position	BlockCount	Trial_Index_	trialcount	display	LorRdirection	Video	outcome	simulation	TrialAttnCheckXLocation	RatingLXlocation	feedbackpoint
LAMI034	TG_up	1	1	1	up	3	LAMI_left_score.mp4	score	Cause	656	1238	"(1238, 690)"
LAMI034	TG_up	1	2	2	up	3	LAMI_right_miss.mp4	miss	Remember	1262	477	"(477, 690)"
LAMI034	TG_up	1	3	3	up	3	LAMI_right_miss.mp4	miss	Cause	1279	1458	"(1458, 690)"
LAMI034	TG_up	1	4	4	up	1	LAMI_right_score.mp4	score	"What if?"	1219	483	"(483, 690)"
LAMI034	TG_up	1	5	5	up	3	LAMI_left_score.mp4	score	Remember	690	1451	"(1451, 690)"
LAMI034	TG_up	1	6	6	up	3	LAMI_right_miss.mp4	miss	Cause	1242	1454	"(1454, 690)"
LAMI034	TG_up	1	7	7	up	1	LAMI_right_score.mp4	score	Cause	1249	1459	"(1459, 690)"
LAMI034	TG_up	1	8	8	up	1	LAMI_left_miss.mp4	miss	"What if?"	654	1449	"(1449, 690)"
LAMI034	TG_up	1	9	9	up	3	LAMI_left_score.mp4	score	Remember	649	484	"(484, 690)"
LAMI034	TG_up	1	10	10	up	3	LAMI_left_score.mp4	score	"What if?"	710	481	"(481, 690)"
LAMI034	TG_up	1	11	11	up	3	LAMI_right_miss.mp4	miss	Remember	1311	476	"(476, 690)"
LAMI034	TG_up	1	12	12	up	3	LAMI_right_miss.mp4	miss	"What if?"	1288	1422	"(1422, 690)"
LAMI034	TG_up	1	13	13	up	1	LAMI_right_score.mp4	score	Remember	1239	1436	"(1436, 690)"
LAMI034	TG_up	1	14	14	up	3	LAMI_right_miss.mp4	miss	Remember	1222	508	"(508, 690)"
LAMI034	TG_up	1	15	15	up	1	LAMI_right_score.mp4	score	Remember	1284	1437	"(1437, 690)"
LAMI034	TG_up	1	16	16	up	3	LAMI_left_score.mp4	score	Cause	725	1435	"(1435, 690)"
LAMI034	TG_up	1	17	17	up	3	LAMI_left_score.mp4	score	"What if?"	664	483	"(483, 690)"
LAMI034	TG_up	1	18	18	up	3	LAMI_right_miss.mp4	miss	"What if?"	1238	1433	"(1433, 690)"
LAMI034	TG_up	1	19	19	up	3	LAMI_left_score.mp4	score	Cause	672	1429	"(1429, 690)"
LAMI034	TG_up	1	20	20	up	1	LAMI_left_miss.mp4	miss	"What if?"	661	1414	"(1414, 690)"
