Session_Name_	position	BlockCount	Trial_Index_	trialcount	display	LorRdirection	Video	outcome	simulation	TrialAttnCheckXLocation	RatingLXlocation	feedbackpoint
LAMI023	YB_up	1	1	1	up	1	LAMI_left_score.mp4	score	Cause	297	965	"(965, 690)"
LAMI023	YB_up	1	2	2	up	3	LAMI_right_miss.mp4	miss	"What if?"	1288	1348	"(1348, 690)"
LAMI023	YB_up	1	3	3	up	3	LAMI_right_score.mp4	score	Remember	663	1446	"(1446, 690)"
LAMI023	YB_up	1	4	4	up	1	LAMI_left_miss.mp4	miss	Cause	701	1441	"(1441, 690)"
LAMI023	YB_up	1	5	5	up	1	LAMI_left_miss.mp4	miss	Remember	648	489	"(489, 690)"
LAMI023	YB_up	1	6	6	up	1	LAMI_left_score.mp4	score	"What if?"	1239	510	"(510, 690)"
LAMI023	YB_up	1	7	7	up	1	LAMI_left_score.mp4	score	Remember	1225	1434	"(1434, 690)"
LAMI023	YB_up	1	8	8	up	1	LAMI_left_score.mp4	score	Cause	1235	1433	"(1433, 690)"
LAMI023	YB_up	1	9	9	up	3	LAMI_right_miss.mp4	miss	Remember	1264	509	"(509, 690)"
LAMI023	YB_up	1	10	10	up	1	LAMI_left_score.mp4	score	"What if?"	1290	604	"(604, 690)"
LAMI023	YB_up	1	11	11	up	1	LAMI_left_miss.mp4	miss	Cause	637	1381	"(1381, 690)"
LAMI023	YB_up	1	12	12	up	1	LAMI_left_miss.mp4	miss	"What if?"	699	1341	"(1341, 690)"
LAMI023	YB_up	1	13	13	up	3	LAMI_right_score.mp4	score	Cause	689	1334	"(1334, 690)"
LAMI023	YB_up	1	14	14	up	1	LAMI_left_score.mp4	score	"What if?"	1237	565	"(565, 690)"
LAMI023	YB_up	1	15	15	up	1	LAMI_left_miss.mp4	miss	Remember	631	513	"(513, 690)"
LAMI023	YB_up	1	16	16	up	3	LAMI_right_miss.mp4	miss	Cause	1268	1362	"(1362, 690)"
LAMI023	YB_up	1	17	17	up	3	LAMI_right_miss.mp4	miss	"What if?"	1275	1407	"(1407, 690)"
LAMI023	YB_up	1	18	18	up	1	LAMI_left_miss.mp4	miss	"What if?"	658	1361	"(1361, 690)"
LAMI023	YB_up	1	19	19	up	1	LAMI_left_miss.mp4	miss	Cause	687	1394	"(1394, 690)"
LAMI023	YB_up	1	20	20	up	1	LAMI_left_miss.mp4	miss	Remember	673	545	"(545, 690)"
LAMI023	YB_up	1	21	21	up	3	LAMI_right_score.mp4	score	"What if?"	633	542	"(542, 690)"
LAMI023	YB_up	1	22	22	up	1	LAMI_left_score.mp4	score	Cause	1236	1292	"(1292, 690)"
LAMI023	YB_up	1	23	23	up	1	LAMI_left_score.mp4	score	Remember	1297	1199	"(1199, 690)"
LAMI023	YB_up	1	24	24	up	1	LAMI_left_score.mp4	score	Remember	1217	1409	"(1409, 690)"
LAMI023	YB_up	1	25	25	down	1	LAMI_left_miss_down.mp4	miss	Remember	656	530	"(530, 690)"
LAMI023	YB_up	1	26	26	down	3	LAMI_right_miss_down.mp4	miss	Remember	1249	517	"(517, 690)"
